scenario,trial,lambda,lambda_rmse,lambda_relative_mae,measurement_rmse,measurement_relative_mae,sicc_rmse,sicc_relative_mae,lambda_detection_rate,sicc_detection_rate
Q1_2sigma,400016,7.742636826811277,0.5140070443752053,0.07273468428598152,0.5139780807070293,0.07115989671684332,0.5148367247441468,0.0849651072268863,0.0,0.0
Q1_2sigma,400017,7.742636826811277,0.3422131899093238,0.045665217090523305,0.34250410017020255,0.04524814582500301,0.34075867461899045,0.04385680805844315,0.0,1.0
Q1_2sigma,400018,7.742636826811277,0.46327076824308344,0.1064989017311522,0.4639410037747234,0.10854364344116252,0.45974793088360494,0.08980952077408,0.0,1.0
Q1_2sigma,400019,0.12915496650148828,0.36699320949199465,0.05159671655833594,0.3704857372095813,0.07478314976497678,0.3669234980864411,0.04809824099849265,0.0,0.0
Q1_2sigma,400020,7.742636826811277,0.309741346692545,0.05094612487731785,0.30998775500018083,0.05126368133994693,0.308897586594317,0.04854063966711665,0.0,1.0
Q1_2sigma,400021,7.742636826811277,0.8586981235241731,0.13829128700419777,0.8592957544494726,0.14328195299185828,0.8573850251596704,0.12281557090097617,0.0,0.0
Q1_2sigma,400022,0.12915496650148828,0.4279920669664222,0.045746060541649605,0.4285307931463397,0.05494062728452467,0.42798625212831437,0.0447880680773155,0.0,0.0
Q1_2sigma,400023,0.12915496650148828,0.27010511145996624,0.053947085349785664,0.2749167915207229,0.07232499996079714,0.2725909525830729,0.061036965338520426,0.0,0.0
Q1_2sigma,400024,7.742636826811277,0.6947973095973737,0.10744727370416654,0.6949767583192423,0.10846737418586239,0.693605213006831,0.09738044944438416,0.0,0.0
Q1_2sigma,400025,7.742636826811277,0.28739118715244716,0.10154268602218129,0.29133880053445993,0.10670715016599383,0.26663525122075993,0.05561429041766377,0.0,0.0
Q1_2sigma,400026,7.742636826811277,0.9626826482368253,0.17699066171844247,0.963345708327618,0.18114014630081973,0.9597828629199919,0.14719136960032214,0.0,0.0
Q1_2sigma,400027,7.742636826811277,0.44781094183335596,0.06791468875359714,0.44793774191757546,0.06797024362718153,0.4472151388642213,0.06648937690699443,0.0,0.0
Q1_2sigma,400028,7.742636826811277,0.20730580287462616,0.04412841282345533,0.20739379933996085,0.043834979545391,0.20649300837985335,0.03984666556254396,0.0,0.0
Q1_2sigma,400029,0.12915496650148828,0.31135792021379305,0.0787826309120321,0.33513050372973846,0.12362947529699282,0.30972882684626246,0.07251616022948906,0.0,0.0
Q1_2sigma,400030,7.742636826811277,0.2963670656636451,0.10400638614147568,0.3024476657372079,0.11228800263324792,0.3357916532530092,0.1607754784892097,0.0,0.0
Q1_2sigma,400031,0.12915496650148828,0.7309100343505797,0.11396567941707171,0.735555732782378,0.15302674627743798,0.7331581786504268,0.12642026292280675,0.0,0.0
Q1_2sigma,400032,0.12915496650148828,0.8220056268084138,0.10831643709218094,0.8219202119046172,0.10473853902574079,0.8220966827570205,0.11045020783007502,0.0,0.0
Q1_2sigma,400033,7.742636826811277,0.15921858796360197,0.07553590601972514,0.17017743958756398,0.08360751854839357,0.11500871682890733,0.018067577531654028,0.0,0.0
